Scene	IoU	Acc	PR
fern	0.9733652922748309	0.9963436030276307
fortress	0.9849334126013809	0.9977307078769192
horns	0.9535425587825881	0.9918763478111274
leaves	0.9704676931093275	0.9984076310961231
orchids	0.9180433263777572	0.9859380030304304
room	0.9832036375364608	0.9976594522181047
fork	0.8972326682499915	0.99582026605314
pinecone	0.9311614088092887	0.9914286985696046
Truck	0.9318001468130178	0.9775641600680844
lego_real_night_radial	0.8764733749937743	0.9960262882089931
mean	0.9420223519548416	0.9928795157960157

