Scene	IoU	Acc
fern	0.8248881295568209	0.9697857133729968
flower	0.9603597885746844	0.9914874557609538
fortress	0.9913876440094774	0.9985507550232857
horns_center	0.9798788363234346	0.9976554924595284
horns_left	0.9290458081917724	0.997067377984508
leaves	0.9417991950008403	0.98036349099808
orchids	0.9139155926530003	0.9766076502255305
trex	0.8161518936132024	0.9668336848962732
mean	0.919678360990404	0.9847939525901446
