Scene	IoU	Acc	PR
fern	0.9735004807535548	0.9963661081716637
fortress	0.9854207046373528	0.9978071622534964
horns	0.9530953779819744	0.991822799410485
leaves	0.9689507814550178	0.9983299053239527
orchids	0.9013180456777093	0.9832039779646427
room	0.9869725302498937	0.9981788804802256
fork	0.8870050080999327	0.995365397621037
pinecone	0.9359002824219889	0.9920063278781944
Truck	0.9667581246079961	0.9890596086278973
lego_real_night_radial	0.8941288687687919	0.9967725608026202
mean	0.9453050204654213	0.9938912728534215
