Scene	IoU	Acc
fern	0.83947941643399	0.9673113549678187
flower	0.9722022996306516	0.9903499885396925
fortress	0.9944066331921706	0.9987506097462642
horns_center	0.9866149550673313	0.9973065825017661
horns_left	0.952122041150088	0.9934256746220673
leaves	0.9705946488583762	0.9792454443468239
orchids	0.9463361016505814	0.9723554569826514
trex	0.8921726490286221	0.9616107140867136
mean	0.9442410931264765	0.9825444782242246
