Scene	IoU	Acc	PR
fern	0.974062712507117	0.9964432030528261
fortress	0.9849416809048196	0.9977317076889543
horns	0.9560152663150305	0.9923112751173745
leaves	0.9707547464884249	0.9984230248367154
orchids	0.9167519455483747	0.9857534127334061
room	0.9830461287372988	0.9975829574527795
fork	0.8855418192099644	0.9953086253994776
pinecone	0.9332352298000712	0.9914905607310498
Truck	0.9447640450917915	0.9822853520106266
lego_real_night_radial	0.8777855866294941	0.9960730639643802
mean	0.9426899161232388	0.993340318298759
