Scene	IoU	Acc
fern	0.819409529789265	0.966055892616472
flower	0.9579362042862611	0.9906409824236807
fortress	0.9906267447833917	0.9989116384323932
horns_center	0.9791446463119947	0.9972852639057252
horns_left	0.9212020469115855	0.9879683402838221
leaves	0.9337041030401524	0.9746984911329406
orchids	0.9060453214105976	0.9704034596026025
trex	0.8129946699387165	0.959282301481998
mean	0.9151329083089955	0.9806557962349542
