Scene	IoU	Acc
fern	0.8244754029550304	0.9695219757392205
flower	0.9597666376789823	0.991634804540316
fortress	0.9913186392923465	0.9985510627925243
horns_center	0.9799652370602514	0.9978211961199159
horns_left	0.9331525191390927	0.9958391999994405
leaves	0.9418100541594131	0.9804563872262138
orchids	0.9127422264014089	0.9758307252218454
trex	0.8134608391282443	0.9664909275429486
mean	0.9195864444768461	0.9845182848978031
