Scene	IoU	Acc
fern	0.815705631578356	0.9654005978526259
flower	0.9572449446128224	0.9907406047968859
fortress	0.9898609363570845	0.998500345092592
horns_center	0.98007428812678	0.9974482171630278
horns_left	0.9279894425746931	0.9955230981733196
leaves	0.9397794477441986	0.9799601174340404
orchids	0.9137490966750926	0.975844740877134
trex	0.8148784357903455	0.966053605038268
mean	0.9174102779324216	0.9836839158034867
