Scene	IoU	Acc
fern	0.7821651564849514	0.9531267205548839
flower	0.9563536265839736	0.9909187592961973
fortress	0.991340622825558	0.9985692630727987
horns_center	0.9793095622972775	0.9970394770217703
horns_left	0.9365462896627584	0.9970940992124281
leaves	0.9405769854377476	0.979505512034323
orchids	0.9148188869504496	0.9773336391611148
trex	0.8152517429235997	0.9671048142348913
mean	0.9145453591457895	0.9825865355735509
