Scene	IoU	Acc
fern	0.8203186813408461	0.9687422094966045
flower	0.9558167748056544	0.9897866836503517
fortress	0.9892724601045514	0.9985416686565599
horns_center	0.9793672980583503	0.9979785939604248
horns_left	0.9317771104102675	0.9960488287144418
leaves	0.9351119178200082	0.9755804834092673
orchids	0.9070190842801819	0.9717372731463744
trex	0.8150959810600101	0.9627351814257576
mean	0.9167224134849838	0.9826438653074726
