Scene	IoU	Acc
fern	0.8249896040405719	0.9696667553360667
flower	0.9601678823511953	0.9912259375065781
fortress	0.9915159437322827	0.9985906955822769
horns_center	0.9798514489106428	0.9977940306650486
horns_left	0.9281497726595802	0.9977014555793835
leaves	0.9420261176182234	0.9803739930081646
orchids	0.9131444616132212	0.9759099794906568
trex	0.8162783526079633	0.9666639530923319
mean	0.91951544794171	0.9847408500325634
